time,open,high,low,close,volume
2021-08-02 00:00:00-04:00,0.455,0.455,0.4424,0.445,7345080
2021-08-03 00:00:00-04:00,0.45,0.465,0.435,0.457,9595956
2021-08-04 00:00:00-04:00,0.4466,0.5,0.4425,0.4979,42042789
2021-08-05 00:00:00-04:00,0.4835,0.5191,0.4661,0.4745,35832915
2021-08-06 00:00:00-04:00,0.4747,0.476,0.4555,0.460001,10307699
2021-08-09 00:00:00-04:00,0.472,0.4851,0.4608,0.4802,18382066
2021-08-10 00:00:00-04:00,0.4831,0.4875,0.465,0.4795,8611522
2021-08-11 00:00:00-04:00,0.47,0.4725,0.46,0.4683,7732846
2021-08-12 00:00:00-04:00,0.4697,0.47,0.4401,0.4475,7738982
2021-08-13 00:00:00-04:00,0.4495,0.4495,0.432,0.433949,8580468
2021-08-16 00:00:00-04:00,0.435,0.44,0.391,0.3928,16543060
2021-08-17 00:00:00-04:00,0.4,0.4,0.365,0.3733,13396688
2021-08-18 00:00:00-04:00,0.381,0.386,0.365,0.3757,10265594
2021-08-19 00:00:00-04:00,0.374,0.374,0.3333,0.3424,19374130
2021-08-20 00:00:00-04:00,0.3351,0.3618,0.33,0.3547,10326268
2021-08-23 00:00:00-04:00,0.367,0.394,0.3597,0.3884,14628745
2021-08-24 00:00:00-04:00,0.405,0.44,0.38,0.38975,25946510
2021-08-25 00:00:00-04:00,0.4088,0.42,0.3965,0.408,18740861
2021-08-26 00:00:00-04:00,0.41,0.47,0.401,0.46,36370853
2021-08-27 00:00:00-04:00,0.47,0.52,0.462,0.4968,47612733
2021-08-30 00:00:00-04:00,0.5301,0.5666,0.5109,0.5448,41116577
2021-08-31 00:00:00-04:00,0.5401,0.55,0.48,0.5,25030849
2021-09-01 00:00:00-04:00,0.4946,0.6787,0.451,0.647799,167725562
2021-09-02 00:00:00-04:00,0.6945,0.7629,0.67,0.6949,128369386
2021-09-03 00:00:00-04:00,0.695,0.95,0.6511,0.8203,259088900
2021-09-07 00:00:00-04:00,0.9727,1.0399,0.854,0.9849,269507312
2021-09-08 00:00:00-04:00,0.9233,1.03,0.8801,0.98719,115094669
2021-09-09 00:00:00-04:00,0.9773,1.32,0.9,1.3,245809691
2021-09-10 00:00:00-04:00,1.38,1.66,1.36,1.515,355153053
2021-09-13 00:00:00-04:00,1.44,1.5,1.22,1.375,168957888
2021-09-14 00:00:00-04:00,1.35,1.8,1.32,1.57,271328857
2021-09-15 00:00:00-04:00,1.67,1.79,1.55,1.64,211532639
2021-09-16 00:00:00-04:00,1.59,1.87,1.56,1.7,234526913
2021-09-17 00:00:00-04:00,1.71,1.84,1.62,1.6962,139257916
2021-09-20 00:00:00-04:00,1.59,1.69,1.36,1.54,130967036
2021-09-21 00:00:00-04:00,1.63,1.71,1.57,1.5787,81628877
2021-09-22 00:00:00-04:00,1.6,1.62,1.43,1.46,93579649
2021-09-23 00:00:00-04:00,1.58,1.98,1.53,1.8799,242388924
2021-09-24 00:00:00-04:00,1.83,2.29,1.81,2.03,299627241
2021-09-27 00:00:00-04:00,2.26,2.8,2.21,2.71,320293249
2021-09-28 00:00:00-04:00,2.88,3.44,2.62,3.22,707453338
2021-09-29 00:00:00-04:00,3.06,4.85,2.89,3.4001,913011181
2021-09-30 00:00:00-04:00,4.13,4.37,3.44,3.79,418855866
2021-10-01 00:00:00-04:00,3.49,3.54,2.86,3.23,300561806
